#Table2
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r
6,317.813160267285,0.400157604281709,20.7365,0.03309619,0.2917946
6,317.813034702301,0.402499266915091,22.1401,0.09812464,0.2918846
6,317.81338572326,0.418386948658824,22.09964,0.09518751,0.2926182
6,317.846706594234,0.321403258482013,19.96079,0.02139766,0.2830572
6,317.845804483464,0.336580196002468,20.75527,0.03524478,0.2846427
6,317.846626838198,0.336535192727519,22.33066,1.063164,0.2845852
6,317.879082071759,0.255766135908636,22.75672,0.1609916,0.284533
6,317.879718632837,0.284398698214241,21.78963,0.07151254,0.2811713
6,317.937223295989,0.308806303493404,21.64066,0.06420235,0.2829953
6,317.812536496187,0.277520128893965,22.44439,0.1245421,0.287907
6,317.812787682367,0.397069136925152,22.53243,0.1369233,0.2917099
6,317.84632851393,0.415094228129146,22.66836,0.1540777,0.2913386
6,317.846547919345,0.355508543693609,22.89595,0.1847965,0.2863134
6,317.81385261363,0.391085503060254,23.63146,0.3329574,0.2914883
6,317.879888863314,0.378204627591372,24.45259,0.5089632,0.2873782
6,317.937817687323,0.384171554924187,23.4462,0.2924087,0.2830388
6,317.990734531879,0.415985462701414,18.0107,0.01391337,0.2821415
6,318.057181232082,0.357232783303216,22.32287,0.5114659,0.2970423
6,318.057587337189,0.36758716099647,24.80217,2.085951,0.2974381
6,318.056258368312,0.348690779796371,23.36014,0.321699,0.2964066
6,318.057577084392,0.35334850802149,24.80217,1.619606,0.2970177
6,318.05746277581,0.362325375263826,24.80217,1.437392,0.297299
6,318.056803758371,0.413422974558025,17.17022,0.01355315,0.2989383
6,318.057058989886,0.408001316467611,24.51714,0.6331573,0.2986268
6,318.057108536993,0.40835139715487,22.77416,0.1773762,0.2986523
6,317.990399838443,0.352957307863364,18.0973,0.01399122,0.2848513
6,317.991269607403,0.347414685685496,18.41351,0.01441539,0.2854971
6,318.056459998855,0.2870285606586,20.0625,0.0232827,0.3016513
6,318.057071670018,0.316993207217036,18.37266,0.01436454,0.2980582
6,318.057557980421,0.392336106249246,18.74048,0.01514286,0.297716
6,318.057167248035,0.302165135322672,22.94269,0.2052396,0.2992762
6,317.990872507305,0.369813743481315,22.9385,0.2084257,0.2837611
6,318.057260176573,0.335064915076106,20.57723,0.03027208,0.297168
6,317.990320862829,0.408498567574378,21.17471,0.0459209,0.2826211
6,318.057334752114,0.263135561090199,22.225,0.1064289,0.3050281
6,318.058038603501,0.399401976356098,21.83433,0.07986751,0.2983187
6,317.991212823059,0.337258689126093,22.78523,0.1721497,0.2863773
6,318.057446371661,0.32422642422844,22.70554,0.1626922,0.2977703
6,318.057582115899,0.326450656672638,22.41831,0.2158924,0.2976979
6,318.057286401082,0.405605907868872,23.08244,0.2273161,0.2985138
6,318.194324465828,0.33368182039958,21.01931,0.04284897,0.3391111
6,318.127675480842,0.318521197900562,23.34446,0.2940997,0.3168179
6,318.127872327788,0.314106373345689,23.30434,0.5641186,0.3168546
6,318.126197473656,0.355949384370989,20.29781,0.02582125,0.3173267
6,318.195055501182,0.262674401629877,21.5967,0.06493612,0.3193864
6,318.126888180108,0.297546109685158,20.5635,0.03009116,0.3169422
6,318.127386579132,0.417217162017756,23.26254,0.2701676,0.3229041
6,318.193940277572,0.418155516471474,21.43016,0.05845792,0.3455042
6,318.19468111338,0.403883015609056,21.74242,0.07505773,0.3460799
6,318.195635404635,0.358735520548481,21.56519,0.0641527,0.3433019
6,318.19551999916,0.26028113191348,22.14759,0.1029878,0.3189158
6,318.1957323966,0.388177635532838,20.51283,0.02966312,0.3465939
6,318.195258468833,0.41476626389357,22.1522,0.1104782,0.3459693
6,318.194793996192,0.41532368618588,23.6124,0.4144851,0.3458146
6,318.195002667465,0.308740559718774,20.30013,0.02574418,0.33086
6,318.195181102779,0.302875921248214,20.6251,0.03146653,0.3292215
6,318.127473763792,0.335770721398142,22.60378,0.1531226,0.316634
6,318.194476724059,0.327237110415419,22.12441,0.1017906,0.3369038
6,318.194505614864,0.275371535105805,22.54813,0.1450806,0.3221428
6,318.194972793288,0.345177335393764,22.41379,0.1307871,0.3407754
6,318.195026326629,0.371651220164287,23.04853,0.225319,0.3457081
6,318.1953759432,0.381623599665937,23.48823,0.3209553,0.3464361
6,317.788364067261,0.717800465257765,17.34356,0.01523918,0.277088
6,317.788191448013,0.656843352884291,22.2694,0.1106652,0.2987534
6,317.787316412742,0.714489831634371,22.96492,0.2048618,0.2780351
6,317.812918653536,0.724761825177504,17.06762,0.0164822,0.2776041
6,317.814068358532,0.72412587310239,17.61442,0.01566413,0.2779756
6,317.88035717649,0.675551738247242,22.54247,0.1400511,0.3025551
6,317.879499341427,0.684537823740361,22.72326,0.1623013,0.2998555
6,317.878748389235,0.688118122267341,18.26181,0.01617211,0.2987082
6,317.937219156453,0.683409651697576,16.95298,0.01536686,0.2941722
6,317.938405484799,0.739375061803555,18.14334,0.01606569,0.2882689
6,317.938247851297,0.654847139990805,23.03699,0.2126085,0.2992964
6,317.812738420388,0.689199138381268,20.96569,0.0394106,0.2880094
6,317.813880931804,0.65311000535188,24.47578,0.5162073,0.3022939
6,317.812905181013,0.674204715800986,22.4258,0.1257627,0.2942802
6,317.846357674013,0.703808416716249,21.58291,0.06301159,0.2902134
6,317.878796464818,0.655139402042696,20.23093,0.02526548,0.3078098
6,317.937485708911,0.675714442712926,19.99793,0.02306751,0.2951787
6,317.937791402653,0.727315065382008,21.44181,0.05825502,0.2889984
6,317.937936499573,0.721724823062246,20.80244,0.03638079,0.289584
6,317.847154106632,0.668941657628359,22.35826,0.1182422,0.2997899
6,317.87910177084,0.665383210444052,22.80805,0.5573921,0.3054697
6,317.937374070393,0.719011539437471,22.95517,0.2059779,0.289995
6,317.813813682613,0.705149476494841,24.84008,0.5504522,0.2814251
6,317.991619401306,0.740887071765727,24.16958,0.5795565,0.2822019
6,317.991113893037,0.746735171705948,25.12148,0.5695283,0.2829479
6,317.989816304868,0.740248340549867,24.16965,1.264975,0.2823285
6,318.056618743971,0.710077343164228,19.47944,0.01903823,0.2799328
6,318.058089190213,0.710731536770687,23.49483,0.3276995,0.2799714
6,318.057380451849,0.736552517667679,25.32707,0.5323995,0.2815326
6,317.9909658038,0.723805188787633,22.2647,0.1175388,0.2818997
6,317.990668522276,0.658084364251113,21.99428,0.08991963,0.2852409
6,318.057805748829,0.745932758352099,20.35296,0.02942087,0.2824098
6,317.991287460763,0.66284102679237,23.28224,0.2671211,0.2844932
6,318.126501875214,0.668631144243685,16.13123,0.01283767,0.2932073
6,317.928992178582,0.439771933360164,16.77012,0.008297589,0.2852769
6,317.864517008793,0.420419263083776,22.99622,0.1812849,0.2910691
6,317.929136713743,0.43713241729213,22.97968,0.1994943,0.2851331
6,317.984318010755,0.437840541954046,21.06705,0.03794349,0.2840708
6,317.984985026672,0.43963060538992,22.82071,0.1839236,0.2842534
6,317.984038482915,0.442342911508366,22.70062,0.1432237,0.2844841
6,318.185452508049,0.43098834147429,17.93497,0.01108755,0.3426684
6,318.185626199049,0.429535440540735,21.26164,0.7743933,0.3427475
6,318.184398252036,0.432118501930442,23.79247,0.3795776,0.342331
6,318.184272869663,0.449929793472697,23.0762,0.1947664,0.3418786
6,317.801202292924,0.263384942056585,20.72631,0.03429312,0.2902042
6,317.800913416891,0.285736399068411,20.84303,0.0370205,0.2896716
6,317.801782263139,0.287267704204403,24.58379,0.5339671,0.2894125
6,317.800918965572,0.416489999271167,22.771,0.169977,0.2928147
6,317.801762317978,0.359970836914856,24.53449,0.5280989,0.290848
6,317.801066580744,0.361262249700143,21.79264,0.07455245,0.2909826
6,317.800983880906,0.32080467602111,23.23487,0.2490281,0.2894529
6,317.801556976331,0.400765612633579,21.51112,0.05912679,0.2922912
6,317.801570389539,0.407011418696749,22.29044,0.1276632,0.2924589
6,317.800368575782,0.276704842952652,22.52511,0.136465,0.2901438
6,317.800936590314,0.342855011486169,22.73492,0.1645683,0.2904936
6,317.800887683557,0.290011442545651,23.49204,0.3019426,0.2894351
6,317.800928144857,0.294873802752822,24.10274,0.4493845,0.289102
6,317.802121211817,0.25872102371557,14.02583,0.009405061,0.2900527
6,317.863990246695,0.413056453972424,14.61925,0.0132739,0.2906901
6,317.927828146765,0.377719344198437,15.65493,0.01333975,0.2837497
6,317.863490882144,0.355347212753867,18.43481,0.0147232,0.285063
6,317.864930394687,0.407307198087237,17.33565,0.01372388,0.2903338
6,317.927682006977,0.262216746398491,19.71272,0.02796889,0.2859022
6,317.802361117162,0.375796162431762,20.23385,0.02454049,0.2917042
6,317.86439911078,0.271987670133307,20.12982,0.0229695,0.2813249
6,317.864713564431,0.387841063388516,21.97873,0.08541571,0.2888571
6,317.927811369058,0.403674074191333,21.8835,0.07975657,0.2834457
6,317.928535665313,0.414843189246641,22.10151,0.09600323,0.2840082
6,317.929142006478,0.304611565802286,21.35094,0.05090877,0.2823433
6,317.929328277582,0.30227289290635,21.82038,0.07405846,0.2823873
6,317.929321185905,0.276839647941515,22.88735,0.1810414,0.2834781
6,317.929391312076,0.250101884783462,22.83076,0.1721115,0.2882123
6,317.929328741763,0.352963044500334,23.24084,0.2466206,0.2833817
6,317.864363336432,0.338435446828904,25.37175,0.4639069,0.283655
6,317.985788151989,0.300830958005414,12.58815,0.0004148371,0.2888071
6,317.984579902198,0.418313671128734,18.15154,0.01408195,0.2821943
6,318.052383195767,0.367976512395554,24.80217,1.623199,0.2959503
6,318.052505924012,0.390786242443841,15.0105,0.00156714,0.2962453
6,318.053958055827,0.413963446753558,17.92266,0.01384737,0.2980456
6,317.984718237439,0.346625411081697,17.35663,0.01342194,0.2850882
6,317.985199505672,0.383508533125513,18.75956,0.01512457,0.2827977
6,318.052667542408,0.404805314397911,17.99646,0.01391297,0.2969638
6,318.052494871036,0.258370310151013,22.04572,0.09541236,0.3044241
6,317.985275023616,0.33939611180222,20.91089,0.03750812,0.2856696
6,317.984275207385,0.339518748759992,24.21356,0.4814984,0.2855743
6,317.98519724272,0.408213222091333,22.66216,0.1567568,0.2822501
6,318.052614424787,0.339354463872358,19.64223,0.01895596,0.2954511
6,318.05279167988,0.283853604203896,22.11112,0.09688174,0.3014351
6,318.05350771655,0.251754915200911,20.62771,0.03079551,0.3051676
6,318.053854450694,0.315521909630096,21.7844,0.07434947,0.2971394
6,318.053868236001,0.320706504326938,22.31116,0.1160112,0.2968332
6,317.984884409261,0.409868598640481,25.15621,0.5242084,0.2821439
6,318.117267787783,0.406803682422813,17.87934,0.0135897,0.318511
6,318.1852057638,0.399448139156116,17.62853,0.01339637,0.3429775
6,318.116217002354,0.378755011158378,20.17498,0.02383678,0.3156031
6,318.185170182999,0.31071434177997,19.88035,0.02078116,0.3302507
6,318.116736694675,0.371001110868442,21.07265,0.0434129,0.315017
6,318.11745737418,0.29674035717119,21.25958,0.04947367,0.3152481
6,318.117338155312,0.351233512607053,23.21146,0.2551494,0.3134971
6,318.184242916008,0.322230625589333,21.29628,0.05136324,0.3334229
6,318.184243632247,0.38322871098362,20.60313,0.03139849,0.3424166
6,318.184244191849,0.408479216753172,20.65858,0.03273373,0.3425902
6,318.185211042883,0.254759216508559,21.41497,0.05607159,0.3185182
6,318.185594117233,0.329671046126932,20.75624,0.03449138,0.3361047
6,318.116076867493,0.346127434423381,22.79151,0.1796893,0.3132846
6,318.11692214632,0.362672033134204,22.80446,0.1823776,0.3141876
6,318.184995875332,0.393473620860611,22.70212,0.1696453,0.3428922
6,318.184728836011,0.290154926384258,23.57038,0.3343462,0.3254346
6,317.801311845877,0.667412594077168,16.93324,0.01509473,0.2969307
6,317.801005703487,0.723476073483043,22.34252,0.1209007,0.275993
6,317.928136172031,0.736238496298399,22.83744,0.2461325,0.2895914
6,317.864264517207,0.686697871697013,18.78864,0.01696012,0.2989589
6,317.865150150309,0.660846020347956,20.33949,0.02667554,0.3048711
6,317.801998809745,0.653560175542112,20.95201,0.03862369,0.3018173
6,317.802157734146,0.710972100641982,20.11443,0.02425597,0.2793924
6,317.863911772235,0.740151651696615,21.6531,0.06810179,0.2854898
6,317.927705295218,0.746716649194547,24.74847,0.5757383,0.2892121
6,317.928332974438,0.70521023757809,21.66688,0.06867433,0.2923348
6,317.864043220394,0.737087182209503,22.43534,0.1310171,0.2859582
6,318.052366253617,0.663651234576983,16.47566,0.01453411,0.2803683
6,317.983903485872,0.730663322196539,17.64583,0.0149517,0.2826328
6,317.983863471518,0.732100662932671,22.09594,0.1085651,0.2826652
6,317.984999368132,0.662145189558247,17.84495,0.01505763,0.2857908
6,317.985145648405,0.672806896982125,16.44793,0.01452892,0.2848751
6,318.052267566824,0.738911214445419,18.47881,0.01584304,0.2810397
6,318.052791710897,0.681598471117593,18.72145,0.01622566,0.2801541
6,318.05323413714,0.703097925759706,18.75698,0.01633976,0.2800037
6,318.053884326548,0.72902565901209,18.84356,0.01659318,0.2804337
6,317.98521987477,0.725242930480088,23.60556,0.354395,0.2824101
6,317.984140869585,0.708649132086,21.90273,0.08577474,0.2821608
6,318.052205319065,0.749403644597339,20.45308,0.02978795,0.281989
6,318.052348701543,0.714073739362942,22.46188,0.1397755,0.2796844
6,318.054138892417,0.742007242798852,22.57779,0.1571172,0.2815947
6,318.052519807573,0.705157017836354,25.14769,0.5556922,0.279911
6,318.18527176627,0.670644913123671,19.39148,0.01723645,0.3135436
6,318.116268500439,0.734216576084613,21.40366,0.0582585,0.2934851
6,318.117188687566,0.71685724079265,22.21833,0.1144033,0.2926635
6,318.185672481784,0.705137559968012,24.22539,0.5287224,0.3178124
6,317.801694342673,0.502886368997443,22.41626,0.1190248,0.3030244
6,317.801858804904,0.55535821963969,17.71672,0.01118419,0.3125896
6,317.800546084074,0.542164072547748,21.24906,0.04443036,0.311224
6,317.80085785894,0.495785955159343,20.66404,0.04795666,0.3017583
6,317.801737928722,0.496241702579209,20.25632,0.03459221,0.3018223
6,317.801678556146,0.579659083727104,20.59644,0.02743148,0.3143335
6,317.800516370826,0.639527826721963,21.98354,0.07761712,0.3054225
6,317.801917256512,0.637618632123083,19.96295,0.01894938,0.3061475
6,317.801661163868,0.528088866484602,22.88525,0.1713917,0.3079762
6,317.801266287931,0.478695773840857,24.20253,0.4441183,0.2989647
6,317.929403662057,0.639542566798399,15.68236,0.01768736,0.3050848
6,317.928458929312,0.572605519031373,24.00698,0.3700804,0.3085075
6,317.863963686299,0.512391856644497,19.14206,0.01540243,0.3007836
6,317.863689306298,0.552395362171052,19.19827,0.01555537,0.3113558
6,317.865354779943,0.524578492062237,18.86937,0.0145341,0.3035286
6,317.864585273308,0.65050101367695,22.94184,0.7801077,0.3073723
6,317.863576693946,0.521523375316994,22.48092,0.1214309,0.3028139
6,317.864071901797,0.566836227641386,21.12943,0.04022752,0.3135557
6,317.86483276578,0.586377641539125,19.85969,0.01918116,0.3161144
6,317.86354570525,0.595303852805669,20.92349,0.03651898,0.3172555
6,317.864073145099,0.596913488259428,23.44156,0.3410302,0.3170815
6,317.864161209582,0.619260134203691,21.7282,0.06321176,0.3138121
6,317.928582678214,0.510246883742054,22.5559,0.1304763,0.2974724
6,317.794601468746,0.428745845429042,12.35941,0.0003391521,0.29368
6,317.793383191982,0.421614815033305,21.12499,0.03892921,0.293217
6,317.85838520125,0.430003198232667,20.34766,0.02468812,0.2917586
6,318.115134763094,0.439915266620569,17.91591,0.01084373,0.3202882
6,318.183767532653,0.43049048960444,20.88417,0.03729129,0.3421648
6,318.114105223267,0.448141196216346,20.12635,0.02016653,0.3217425
6,318.182831317665,0.441588510150507,22.14839,0.09125564,0.3416629
6,318.183906641119,0.447068071192788,25.15016,0.4578597,0.3418477
6,317.792782526206,0.277017636755477,18.13048,0.01779922,0.291571
6,317.793603656402,0.306151115244064,19.466,0.02081151,0.2905176
6,317.794633226871,0.280946539628421,18.3562,0.01803051,0.2911247
6,317.794465768352,0.263484006059282,19.37703,0.02048765,0.2912813
6,317.793112105319,0.261228903396673,21.73992,0.07084651,0.2914622
6,317.794230366834,0.374924535597199,22.37128,0.1205319,0.2923433
6,317.794553021096,0.29722688891082,20.94186,0.0395508,0.2903965
6,317.79282900971,0.323987528588232,22.09521,0.09588549,0.2909649
6,317.793502644519,0.36998964936234,22.50123,0.1343287,0.2921469
6,317.794667331936,0.335368360737886,22.83881,0.1798293,0.291239
6,317.923184227311,0.392827072244378,13.91505,0.001715487,0.2841188
6,317.859085027254,0.279666143387526,18.15222,0.01431967,0.2813642
6,317.859254899533,0.267396238338614,18.54638,0.01490069,0.2822791
6,317.858262825858,0.266327958696885,20.85386,0.408936,0.2826457
6,317.857858114756,0.291887136251079,20.72446,0.03234558,0.2813513
6,317.858396248027,0.290098890845872,22.69444,0.1638253,0.2813511
6,317.858980836307,0.290012217631244,23.30944,0.2946041,0.2813447
6,317.922849683721,0.268638063678826,17.00648,0.0135806,0.2843785
6,317.857595397056,0.379564703004802,21.02263,0.04012658,0.2880423
6,317.857984671561,0.390658970790858,22.00557,0.08746331,0.2893395
6,317.922472571082,0.272075267225526,22.19785,0.1008108,0.28374
6,317.923187664699,0.341554319794859,22.14627,0.09810859,0.2831503
6,317.857404885212,0.262454817123518,24.42466,0.4952399,0.2837077
6,317.923204308575,0.339961628254219,24.82541,0.5350181,0.2830754
6,317.923553091711,0.298385442066487,23.27954,0.2502852,0.2821905
6,317.98243602788,0.390489142289023,14.36088,0.001029,0.2824821
6,318.048786696936,0.363563396256702,20.28563,0.03087164,0.2947921
6,318.049862846716,0.368580515468097,20.76647,0.06101489,0.2952553
6,318.048758291175,0.356793980436943,22.01279,0.1921026,0.2945059
6,317.983095070354,0.383477346097462,20.46889,0.02919945,0.2825409
6,317.983856759504,0.384397253633841,21.85137,0.08012551,0.2826388
6,318.049268035722,0.29186526149671,19.20413,0.01649284,0.2995786
6,318.049675748847,0.415028063779878,17.81578,0.01374534,0.2967081
