#Table1
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r,clean
6,184.121222197581,31.9551119955373,22.95653,0.2081162,0.03546182,1
6,183.890616355073,31.7866299839354,19.19447,0.02570524,0.03423171,1
6,183.890701093737,31.7830768894472,19.13026,0.02549994,0.03449348,1
6,183.775637192841,31.7694028637654,19.92909,0.03060943,0.03748874,1
6,183.890182785694,31.8430012738441,21.51161,0.07282306,0.03154974,1
6,184.005833090315,31.822513252194,18.62362,0.02546552,0.03284856,1
6,184.005527521896,31.8013257700715,22.62542,0.1822647,0.03457842,1
6,184.123298266056,31.77963007995,19.05862,0.02168578,0.03739742,1
6,183.774810590805,32.2127209289976,21.3736,0.1891918,0.02725044,1
6,183.774619319231,32.1453919753765,22.82632,0.2229488,0.02883053,1
6,183.889896122313,32.2337714223579,20.97101,0.04663099,0.03139078,1
6,183.776887122315,32.1629085555895,21.32446,0.05999373,0.02839243,1
6,183.88742802591,32.1115519678364,22.00039,0.1053774,0.03215382,1
6,183.775868008196,32.1162989033253,22.72015,0.1947142,0.02938959,1
6,184.008805665103,32.1449224782369,21.82166,0.08972054,0.03360141,1
6,184.007851767168,32.0890444949383,22.56258,0.1673788,0.03545013,1
6,184.007374287034,32.2047066341704,22.32155,0.1399878,0.03383942,1
6,184.121974276682,32.120365577997,16.16965,0.01459272,0.03145052,1
6,184.124076174963,32.1849396083631,21.69058,0.08079866,0.03238707,1
6,183.750051545162,32.0459492120798,22.74709,0.251398,0.03012049,1
6,183.752233840606,31.9453889578106,19.6221,0.01814188,0.03098933,1
6,183.751950249596,31.9979972286617,21.7818,0.07571897,0.02970113,1
6,183.752089344077,31.9168242616064,22.55977,0.1484864,0.03197936,1
6,183.750663021132,32.0580706991216,22.80069,0.1779787,0.03018565,1
6,183.877319915971,31.9470999309914,19.53946,0.0166878,0.03058742,1
6,184.002266742645,31.9857245212285,22.91686,0.23593,0.03480526,1
6,183.87779849078,32.0539003882134,21.0869,0.04341898,0.02970229,1
6,184.003581896117,31.9116803613014,20.48058,0.02787916,0.03070268,1
6,184.003093004459,32.0158508408144,20.21378,0.02578328,0.03640325,1
6,184.00185666832,32.0163143220152,21.28296,0.08338261,0.03637837,1
6,183.8795046095,31.9817340800103,21.34027,0.05253482,0.0296208,1
6,183.975915727063,31.8956139893866,20.79913,0.03459353,0.02966336,1
6,184.00306090085,31.9291601355257,22.89779,0.1951822,0.0314386,1
6,184.002105215669,31.8983670631565,22.62307,0.1544454,0.03013973,1
6,183.86004395224,31.7722321394623,16.27501,0.02324657,0.03558135,1
6,183.861183862939,31.790694316333,16.99996,0.02335553,0.034603,1
6,183.879269847912,31.8449066088214,19.48129,0.03275019,0.03174248,1
6,183.878933146498,31.8454153346524,20.44977,0.1263196,0.03172928,1
6,183.860228024364,31.8423447463923,19.88345,0.02875815,0.03253272,1
6,183.859952183869,31.8525303106932,22.52577,0.1691362,0.03225017,1
6,183.877225970607,31.7583112732074,21.58946,0.07729541,0.03618448,1
6,183.86165727004,31.8058367558821,22.71754,0.2010347,0.03387205,1
6,183.973452606785,31.8061970221192,21.76408,0.08854666,0.03340307,1
6,183.861227256263,32.1339556959482,19.0343,0.01969742,0.03188965,1
6,183.750868754489,32.2044960738154,21.65004,0.08479214,0.02726612,1
6,183.878819283189,32.0797747560731,22.50562,0.160786,0.03081102,1
6,183.860521612339,32.1730513030611,22.10187,0.116074,0.03164428,1
6,183.974241964532,32.1484039654363,17.278,0.01456436,0.03402006,1
6,183.975897806012,32.2409974761989,17.98827,0.01507463,0.03457665,1
6,183.974550219484,32.165181297591,20.02695,0.02455719,0.0340548,1
6,184.002497160603,32.2054862562336,22.80977,0.2133616,0.03385113,1
6,184.004494773228,31.9519323094327,18.15916,0.01162514,0.03306186,1
6,184.005279487053,32.0172836935285,21.7617,0.07864272,0.03657421,1
6,184.005155906906,31.8747737039828,22.60377,0.1517852,0.0300389,1
6,184.174367420293,32.0562184158819,17.65419,0.01579754,0.03125131,1
6,184.172590130612,32.0002636596029,21.40815,0.05739853,0.03374153,1
6,184.102516602197,31.9818131947226,21.84993,0.08124874,0.03604479,1
6,184.099945679662,32.0337126113223,22.64749,0.1705537,0.03514271,1
6,184.102347230384,31.9214411911591,22.77585,0.1842861,0.03367909,1
6,184.102095106977,31.9968257500105,22.39571,0.1282243,0.03576589,1
6,184.173589276739,32.0023716803961,22.68512,0.1657052,0.03361218,1
6,184.215609936195,31.9797805736202,21.83237,0.08234058,0.03481682,1
6,184.216789213038,31.965555285144,22.56684,0.1523373,0.03515213,1
6,184.217439677171,31.9268822906307,22.74001,0.1772334,0.03625034,1
6,184.003690912611,31.7775250444789,21.71272,0.08479487,0.03628208,1
6,184.101390534168,31.8153216540191,22.57198,0.1738268,0.03579169,1
6,184.172119975308,31.8182380126201,16.14463,0.01923721,0.03713881,1
6,184.102449638837,31.8245973487375,21.74729,0.08616515,0.0354025,1
6,184.17343996193,31.8628932347087,21.3427,0.06193937,0.03581382,1
6,184.171081318374,31.7872150309511,21.93746,0.1018662,0.03754199,1
6,184.173990767582,31.7976289513717,22.61478,0.181725,0.03741891,1
6,184.174198790879,31.8355794723927,22.31887,0.1400562,0.03662036,1
6,184.004815567699,32.1544941869976,19.70708,0.0212003,0.03355319,1
6,184.005158450242,32.1849927376071,20.26627,0.02810122,0.03357236,1
6,184.173656288859,32.1944849247428,20.11393,0.02530118,0.03161816,1
6,184.217208548064,32.198800983928,22.10403,0.1181275,0.03149391,1
6,184.099451765128,32.2056910314296,22.97827,0.3480793,0.03352714,1
6,184.100453085661,32.230932135571,21.67131,0.07957243,0.03461865,1
6,184.101672008922,32.1963609965857,21.70105,0.0814072,0.03316673,1
6,184.172002297209,32.1771113765968,20.30069,0.02806495,0.03117326,1
6,184.21690940294,32.1254315855017,21.5023,0.06932188,0.03019239,1
6,184.217344133553,32.1772373508579,22.1977,0.1259302,0.03094118,1
6,184.174292066998,32.1080415266239,22.45752,0.1558622,0.03030174,1
6,183.76477266172,32.0482977247708,19.11082,0.01521911,0.02980472,1
6,183.763142873958,31.8793125287292,20.12334,0.02290468,0.03404364,1
6,183.766274868392,31.9021911135393,22.77472,0.1769056,0.0327362,1
6,183.765875427645,31.9557240381446,22.9024,0.1964608,0.03049626,1
6,183.992007306827,31.9336279886797,19.59917,0.01707573,0.03147766,1
6,183.992835202429,31.8896389196848,21.21091,0.0473353,0.02965228,1
6,183.873518709631,31.9514194073528,21.39841,0.05632485,0.03045089,1
6,183.873285584237,32.0512249398057,21.11055,0.04418831,0.02956826,1
6,183.991608289963,32.0316413335481,21.06947,0.04260527,0.03646781,1
6,183.8755256172,31.90935974874,22.52287,0.1412591,0.03117067,1
6,183.875754915996,31.9834955379904,22.62631,0.1547358,0.02954786,1
6,183.874823279589,32.0661430613818,22.52559,0.1436686,0.03019009,1
6,183.991486252609,31.9597579326962,22.94991,0.2035828,0.033008,1
6,183.99307360962,31.8681652586232,22.34674,0.1213864,0.0300995,1
6,183.992655880534,32.0092567650101,22.87653,0.1916186,0.03557707,1
6,183.99415816174,32.0183917962371,22.64491,0.1575416,0.03617475,1
6,184.125172571925,32.0473460672082,17.27031,0.01559364,0.03326594,1
6,183.766220009966,31.7769487313051,21.73609,0.08839183,0.03748242,1
6,183.876210367191,31.7918550616385,23.03469,0.2719741,0.03422723,1
6,183.99421905448,31.8123455295662,19.93585,0.03090216,0.03343202,1
6,183.991708517093,31.7724548341624,22.68942,0.1917685,0.03656235,1
6,183.764657544807,32.1693341217633,21.88157,0.09456763,0.02770797,1
6,183.875664174126,32.2089543875391,21.14353,0.05310465,0.0314741,1
6,183.764990781144,32.2077884406638,22.59475,0.1760875,0.02726849,1
6,183.993184875571,32.1020480878639,21.68652,0.07921639,0.03483964,1
6,184.124956300057,32.1983455374211,18.23506,0.01565317,0.0327752,1
6,184.12603468663,32.1479655098763,19.9531,0.02381966,0.03136337,1
6,184.125337098128,32.1417052426868,20.23785,0.02767051,0.03125818,1
6,184.125158615386,32.17385073637,22.67545,0.1881766,0.03205794,1
6,184.12594327377,32.1528642496478,22.34679,0.1414574,0.03149199,1
6,184.127041962414,31.9435909846844,18.59041,0.01688383,0.03512694,1
6,184.127556774354,32.0205005769062,21.93467,0.08684813,0.03398209,1
6,183.784428012937,31.9974319735849,20.87302,0.03739257,0.029317,1
6,183.786304845241,31.9976735637208,22.70811,0.1687474,0.02929775,1
6,183.786377485074,31.9026341760631,21.70421,0.07119954,0.032826,1
6,183.7851861562,32.0519758323077,21.14362,0.0450908,0.02955737,1
6,183.787930453564,32.0474681338962,22.42334,0.1330453,0.02944039,1
6,184.012771406106,31.9336463776613,19.42725,0.01809965,0.03203189,1
6,184.014727269836,31.9297970920374,22.78143,0.2208678,0.03180067,1
6,183.897059460586,31.964037045419,22.09299,0.1103049,0.03021075,1
6,183.896452526146,31.8758995331367,22.82994,0.1823883,0.03051853,1
6,183.897033432466,31.9588759760892,22.27066,0.117617,0.030307,1
6,184.014053168168,31.9049285194098,22.87655,0.1921674,0.03058619,1
6,184.133145335673,31.8903505396453,22.82181,0.1881453,0.03411594,1
6,184.134267034988,31.9985196173971,22.91631,0.1999906,0.03427907,1
6,183.896803217941,31.818659021983,22.70885,0.1978163,0.03245047,1
6,184.014064075779,31.8229987909723,22.43024,0.1545225,0.03292391,1
6,184.015823651795,31.8013424819312,22.74607,0.2019066,0.03469206,1
6,184.132844211651,31.810959890628,19.30189,0.0226062,0.03683165,1
6,184.132064452078,31.7712884726465,22.49806,0.1637445,0.03777778,1
6,184.133490881816,31.8377406643891,22.72429,0.197929,0.03598323,1
6,183.787146321046,32.0811086779096,21.47122,0.06793115,0.02986082,1
6,183.787645852719,32.1518097390588,22.46321,0.1560574,0.02911514,1
6,184.013109803373,32.1046919412765,19.98727,0.02384207,0.03499658,1
6,184.134373939766,32.1379721674243,19.2476,0.01849796,0.03097261,1
